,Ngày,Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2
34,6/5/2021,"101/19 Gốc Đề, Đường Ngõ Gốc Đề, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,36 m²,9 m,4 m,"76,39 triệu/m²"
35,6/5/2021,"Đường Chiến Thắng, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2 phòng,45 m²,13 m,3.4 m,"122,22 triệu/m²"
36,6/5/2021,"Đường Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,6,6 phòng,60 m²,8 m,8 m,"483,33 triệu/m²"
37,6/5/2021,"Phố Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,37 m²,11 m,3.7 m,"116,22 triệu/m²"
38,6/5/2021,"Đường Trần Khát Chân, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bạch Đằng,"Nhà ngõ, hẻm",Đã có sổ,3,2 phòng,23 m²,8 m,3 m,"82,61 triệu/m²"
39,6/5/2021,"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4 phòng,40 m²,4 m,4 m,140 triệu/m²
40,6/5/2021,"Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Thụy Khuê,Nhà biệt thự,Đã có sổ,5,6 phòng,92 m²,18 m,5.6 m,"146,74 triệu/m²"
41,6/5/2021,"Đường Doãn Kế Thiện, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,47 m²,11.7 m,4 m,"102,13 triệu/m²"
42,6/5/2021,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,43 m²,11 m,4 m,"90,7 triệu/m²"
43,6/5/2021,"Đường Nguyễn Khang, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,56 m²,15 m,4 m,"81,25 triệu/m²"
44,6/5/2021,"ngọc tri, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,30 m²,7.5 m,4 m,75 triệu/m²
45,6/5/2021,"35, Đường Ngô Thì Sỹ, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,30 m²,10 m,3.2 m,95 triệu/m²
46,6/5/2021,"Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,37 m²,9 m,4 m,"67,57 triệu/m²"
47,6/5/2021,"Lê Quang Đạo, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,6,nhiều hơn 10 phòng,56 m²,9 m,6 m,"130,36 triệu/m²"
48,6/5/2021,"Đường Nguyễn Lương Bằng, Phường Nam Đồng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,30 m²,7 m,4.5 m,"71,67 triệu/m²"
49,6/5/2021,"Đường Thái Hà, Phường Nam Đồng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,3,2 phòng,24 m²,6 m,4 m,"93,75 triệu/m²"
50,6/5/2021,"124, Đường Chiến Thắng, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,6,7 phòng,36 m²,10 m,3.6 m,"152,78 triệu/m²"
51,6/5/2021,"Đường Hoàng Mai, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,48 m²,12 m,4 m,"56,25 triệu/m²"
53,6/5/2021,"B3-261, Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Thụy Khuê,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5 phòng,185 m²,13 m,13 m,200 triệu/m²
54,6/5/2021,"08, Đường Thạch Bàn||1422, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,35 m²,10 m,3.5 m,68 triệu/m²
55,6/5/2021,"Đường Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,55 m²,10 m,6 m,160 triệu/m²
56,6/5/2021,"Đường Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,35 m²,7 m,5 m,"85,71 triệu/m²"
57,6/5/2021,"số 5 nghách 8711phố yên lộ, phố yên lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,2,2 phòng,30 m²,8 m,4 m,40 triệu/m²
58,6/5/2021,"Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,3,2 phòng,30 m²,8 m,4 m,"40,27 triệu/m²"
59,6/5/2021,"Đường Phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Đồng Tâm,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,56 m²,10 m,6 m,"160,71 triệu/m²"
60,6/5/2021,"đường trịnh văn bô, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Xuân Phương,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,31 m²,7.5 m,4 m,"66,13 triệu/m²"
61,6/5/2021,"Đường Trường Chinh, Phường Phương Mai, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,63 m²,10 m,6.3 m,"87,3 triệu/m²"
63,6/5/2021,"Đường Vạn Bảo, Phường Liễu Giai, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Liễu Giai,Nhà biệt thự,Đã có sổ,6,5 phòng,80 m²,16 m,5 m,"161,13 triệu/m²"
64,6/5/2021,"xxx, Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,38 m²,10 m,4 m,"113,16 triệu/m²"
65,6/5/2021,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5 phòng,62 m²,16 m,5 m,"207,9 triệu/m²"
66,6/5/2021,"88, Hồ tung mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,40 m²,8 m,5 m,"102,5 triệu/m²"
67,6/5/2021,"Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4 phòng,57 m²,8.14 m,7 m,"63,16 triệu/m²"
68,6/5/2021,"Đường Lãng Yên, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bạch Đằng,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,56 m²,14 m,4 m,"58,93 triệu/m²"
69,6/5/2021,"Đường Đông Ngạc, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Đông Ngạc,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,30 m²,5.6 m,5.5 m,"77,33 triệu/m²"
70,6/5/2021,"88, Đường Hồ Tùng Mậu||821, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,44 m²,9.5 m,4.6 m,"79,55 triệu/m²"
71,6/5/2021,"2 Ngõ 77 Bùi Xương Trạch, Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,32 m²,8 m,4 m,"79,69 triệu/m²"
72,6/5/2021,"Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,34 m²,8 m,4 m,"111,76 triệu/m²"
73,6/5/2021,"Đường Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,49 m²,12.25 m,4 m,"75,51 triệu/m²"
74,6/5/2021,"Đường Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6 phòng,67 m²,15 m,45 m,"111,94 triệu/m²"
75,6/5/2021,"Đường Biên Giang, Phường Biên Giang, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Biên Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4 phòng,110 m²,15.7 m,7 m,"31,82 triệu/m²"
76,6/5/2021,"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Quan Hoa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,41 m²,10 m,4.1 m,"112,2 triệu/m²"
77,6/5/2021,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,9 m,4 m,"95,71 triệu/m²"
78,6/5/2021,"Đường Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,34 m²,9 m,4 m,"97,06 triệu/m²"
79,6/5/2021,"Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,80 m²,18 m,4.5 m,175 triệu/m²
80,6/5/2021,"Đường Chiến Thắng, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,43 m²,12 m,4 m,"60,47 triệu/m²"
81,6/5/2021,"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 2,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,47 m²,11 m,4.2 m,"63,83 triệu/m²"
82,6/5/2021,ngõ 252/7 ngọc thuỵ long biên,Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,36 m²,9 m,4 m,"88,89 triệu/m²"
83,6/5/2021,"Đường Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Định Công,Nhà phố liền kề,Đã có sổ,4,4 phòng,76 m²,16.55 m,4.6 m,"117,11 triệu/m²"
84,6/5/2021,"Đường Quang Trung||1869, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,33 m²,8 m,4 m,"65,15 triệu/m²"
85,6/5/2021,"Đường Trung Phụng, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,22 m²,4.2 m,5 m,"113,64 triệu/m²"
86,6/5/2021,"La khê, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,31 m²,7 m,4.6 m,"66,13 triệu/m²"
88,6/5/2021,"Đường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,9 m,3.46 m,"65,14 triệu/m²"
89,6/5/2021,"Đường Phan Kế Bính, Phường Liễu Giai, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Liễu Giai,"Nhà mặt phố, mặt tiền",Đã có sổ,6,5 phòng,42 m²,7 m,6 m,"366,67 triệu/m²"
90,6/5/2021,"Quang Trung, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,35 m²,10 m,3.5 m,"45,71 triệu/m²"
91,6/5/2021,"2, Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,9 m,3 m,75 triệu/m²
92,6/5/2021,"Đỗ Quang, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,7,4 phòng,50 m²,10 m,5 m,240 triệu/m²
93,6/5/2021,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,6 phòng,60 m²,15 m,4 m,75 triệu/m²
94,6/5/2021,"Đền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,6,5 phòng,42 m²,10 m,4 m,"142,86 triệu/m²"
95,6/5/2021,"Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,35 m²,10 m,3 m,60 triệu/m²
96,6/5/2021,"Đường Hoa Bằng, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,1,1 phòng,55 m²,13 m,4 m,"72,73 triệu/m²"
97,6/5/2021,hoàng mai,Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,35 m²,7 m,5 m,"88,57 triệu/m²"
98,6/5/2021,"Cầu am, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,35 m²,8 m,3.7 m,"62,86 triệu/m²"
99,6/5/2021,"398, Đường Nguyễn Đình Hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,6,4 phòng,38 m²,10 m,3.6 m,"92,11 triệu/m²"
100,6/5/2021,"Đường Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,60 m²,12 m,5 m,"166,67 triệu/m²"
101,6/5/2021,"Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,40 m²,8 m,5 m,"112,5 triệu/m²"
102,6/5/2021,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,50 m²,18 m,3.5 m,64 triệu/m²
103,6/5/2021,"Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,9 m,4 m,140 triệu/m²
104,6/5/2021,"Đường Đào Tấn, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Khánh,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,34 m²,10.6 m,3.2 m,"94,12 triệu/m²"
105,6/5/2021,"325, Đường Kim Ngưu, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,25 m²,8 m,3.2 m,118 triệu/m²
106,6/5/2021,Đường Lê Thanh Nghị,Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,45 m²,9 m,5 m,"103,33 triệu/m²"
107,6/5/2021,"Đường Thành, Phường Cửa Đông, Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Phường Cửa Đông,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2 phòng,20 m²,5 m,4 m,550 triệu/m²
108,6/5/2021,"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,9 m,35 m,53 triệu/m²
109,6/5/2021,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,32 m²,6 m,5.3 m,100 triệu/m²
110,6/5/2021,"Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,3,2 phòng,35 m²,8 m,4 m,"88,57 triệu/m²"
